epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_retained_tokens,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb,eval_top1_full_compression
10,4.320125432014465,0.0,0.0,0.0005005000000000001,0.0005005000000000001,0.0005005000000000001,430.8972851530597,33445.18359375,35520.0,2.0,392,0.0,4.0274609375,12.86,34.8,1257.6730411235574,3292.1396484375,35520.0,0.0
11,4.317737579345703,0.0,0.0,0.0005504500000000001,0.0005504500000000001,0.0005504500000000001,431.08570472058676,33445.18359375,35520.0,2.0,392,0.0,3.982734375,13.42,36.1,1266.8843371012808,3292.1396484375,35520.0,0.0
12,4.327466743469238,0.0,0.0,0.0006004000000000002,0.0006004000000000002,0.0006004000000000002,431.5633371351507,33445.18359375,35520.0,2.0,392,0.0,3.9391015625,14.3,37.44,1249.0503259922054,3292.1396484375,35520.0,0.0
13,4.327334516525268,0.0,0.0,0.0006503500000000002,0.0006503500000000002,0.0006503500000000002,430.8075465224356,33445.18359375,35520.0,2.0,392,0.0,3.8943359375,14.95,38.84,1234.7904944391646,3292.1396484375,35520.0,0.0
14,4.324949332237244,0.0,0.0,0.0007003000000000002,0.0007003000000000002,0.0007003000000000002,431.4982150015154,33445.18359375,35520.0,2.0,392,0.0,3.8536328125,15.64,40.08,1232.046731899508,3292.1396484375,35520.0,0.0
15,4.315989459991455,0.0,0.0,0.0007502500000000002,0.0007502500000000002,0.0007502500000000002,427.8940868441821,33445.18359375,35520.0,2.0,392,0.0,3.8119921875,16.27,41.66,1194.8714955291143,3292.1396484375,35520.0,0.0
16,4.313626363754272,0.0,0.0,0.0008002000000000002,0.0008002000000000002,0.0008002000000000002,425.1416000544385,33445.18359375,35520.0,2.0,392,0.0,3.770234375,17.12,43.09,1225.8269267768212,3292.1396484375,35520.0,0.0
17,4.3289565753936765,0.0,0.0,0.0008501500000000001,0.0008501500000000001,0.0008501500000000001,427.1591493931743,33445.18359375,35520.0,2.0,392,0.0,3.7325390625,17.74,44.26,1213.2264143924851,3292.1396484375,35520.0,0.0
18,4.320349054336548,0.0,0.0,0.0009001000000000001,0.0009001000000000001,0.0009001000000000001,427.6745558208908,33445.18359375,35520.0,2.0,392,0.0,3.697890625,18.41,45.21,1208.519612860333,3292.1396484375,35520.0,0.0
19,4.321681415557861,0.0,0.0,0.0009500500000000001,0.0009500500000000001,0.0009500500000000001,425.4503980499903,33445.18359375,35520.0,2.0,392,0.0,3.663828125,18.89,46.25,1213.230765973293,3292.1396484375,35520.0,0.0
20,4.318019720077515,0.0,0.0,0.0009779754323328191,0.0009779754323328191,0.0009779754323328191,426.0053780814489,33675.80126953125,35522.0,2.0,392,0.0025,3.632734375,19.42,47.17,1192.6789606064285,3292.1396484375,35522.0,0.0
21,4.315153296470642,0.0,0.0,0.0009757384114723954,0.0009757384114723954,0.0009757384114723954,425.23665528240394,33675.80126953125,35522.0,2.0,392,0.005,3.609765625,19.97,48.24,1240.463408745124,3292.1396484375,35522.0,0.0
22,4.30139705657959,0.0,0.0,0.0009733963460294015,0.0009733963460294015,0.0009733963460294015,428.1311833116116,33675.80126953125,35522.0,2.0,392,0.0075000000000000015,3.590859375,20.39,49.07,1261.6106996083815,3292.1396484375,35522.0,0.0
23,4.285648991584778,0.0,0.0,0.0009709498138734404,0.0009709498138734404,0.0009709498138734404,427.4999209987667,33675.80126953125,35522.0,2.0,392,0.01,3.573359375,20.84,49.82,1232.1899181149577,3292.1396484375,35522.0,0.0
24,4.276679213523865,0.0,0.0,0.0009683994186497131,0.0009683994186497131,0.0009683994186497131,425.04484886193615,33675.80126953125,35522.0,2.0,392,0.0125,3.5601953125,21.25,50.13,1212.3261685251719,3292.1396484375,35522.0,0.0
